Quitilipi,Quitilipi,-26.86913,-60.21683,AR,32083,,88,America/Argentina/Cordoba
Punta Alta,Punta Alta,-38.87588,-62.07359,AR,57209,,8,America/Argentina/Buenos_Aires
Puerto Madryn,Puerto Madryn,-42.7692,-65.03851,AR,64555,,11,America/Argentina/Catamarca
Presidencia Roque Sáenz Peña,Presidencia Roque Saenz Pena,-26.78522,-60.43876,AR,81879,,97,America/Argentina/Cordoba
Pocito,Pocito,-31.68333,-68.58333,AR,40969,,608,America/Argentina/San_Juan
Plottier,Plottier,-38.96667,-68.23333,AR,25186,,279,America/Argentina/Salta
Pergamino,Pergamino,-33.88995,-60.57357,AR,87652,,69,America/Argentina/Buenos_Aires
Pérez,Perez,-32.99835,-60.76791,AR,24436,,37,America/Argentina/Cordoba
Paraná,Parana,-31.73197,-60.5238,AR,262295,,60,America/Argentina/Cordoba
Palpalá,Palpala,-24.25648,-65.21163,AR,48199,,1126,America/Argentina/Jujuy
Olavarría,Olavarria,-36.89272,-60.32254,AR,86320,,170,America/Argentina/Buenos_Aires
Nueve de Julio,Nueve de Julio,-35.44437,-60.88313,AR,34718,,80,America/Argentina/Buenos_Aires
Neuquén,Neuquen,-38.95161,-68.0591,AR,242092,,281,America/Argentina/Salta
Morteros,Morteros,-30.71164,-61.99862,AR,15129,,99,America/Argentina/Cordoba
Monteros,Monteros,-27.16742,-65.49832,AR,23771,,360,America/Argentina/Tucuman
Mendoza,Mendoza,-32.89084,-68.82717,AR,876884,,746,America/Argentina/Mendoza
Marcos Juárez,Marcos Juarez,-32.6978,-62.10672,AR,24226,,117,America/Argentina/Cordoba
Machagai,Machagai,-26.92614,-60.04956,AR,28070,,90,America/Argentina/Cordoba
Lincoln,Lincoln,-34.86649,-61.5302,AR,41808,76,92,America/Argentina/Buenos_Aires
Libertador General San Martín,Libertador General San Martin,-23.80644,-64.78757,AR,49267,,485,America/Argentina/Jujuy
Las Breñas,Las Brenas,-27.08966,-61.08161,AR,26955,,104,America/Argentina/Cordoba
La Rioja,La Rioja,-29.41105,-66.85067,AR,162620,,502,America/Argentina/La_Rioja
La Falda,La Falda,-31.08841,-64.48987,AR,15112,,947,America/Argentina/Cordoba
La Calera,La Calera,-31.34377,-64.33529,AR,24796,,495,America/Argentina/Cordoba
Laboulaye,Laboulaye,-34.12662,-63.39119,AR,19908,,143,America/Argentina/Cordoba
Junín,Junin,-34.58382,-60.94332,AR,85007,,83,America/Argentina/Buenos_Aires
Joaquín V. González,Joaquin V. Gonzalez,-25.08333,-64.18333,AR,19185,,400,America/Argentina/Salta
Jesús María,Jesus Maria,-30.98153,-64.09424,AR,26825,,533,America/Argentina/Cordoba
Granadero Baigorria,Granadero Baigorria,-32.85683,-60.71754,AR,32427,,32,America/Argentina/Cordoba
Gobernador Gálvez,Gobernador Galvez,-33.03016,-60.64045,AR,74650,,28,America/Argentina/Cordoba
General Roca,General Roca,-39.03333,-67.58333,AR,73212,,237,America/Argentina/Salta
General Pinedo,General Pinedo,-27.31667,-61.28333,AR,15741,,95,America/Argentina/Cordoba
General Pico,General Pico,-35.65662,-63.75682,AR,57029,,143,America/Argentina/Salta
General Enrique Mosconi,General Enrique Mosconi,-22.59588,-63.81255,AR,19811,,481,America/Argentina/Salta
Gálvez,Galvez,-32.02927,-61.22103,AR,18374,,57,America/Argentina/Cordoba
Firmat,Firmat,-33.45937,-61.4832,AR,18294,,109,America/Argentina/Cordoba
Famaillá,Famailla,-27.05413,-65.40329,AR,30951,,368,America/Argentina/Tucuman
Esquel,Esquel,-42.9,-71.31667,AR,28486,,624,America/Argentina/Catamarca
Esperanza,Esperanza,-31.4488,-60.93173,AR,35885,,40,America/Argentina/Cordoba
Embarcación,Embarcacion,-23.20898,-64.09605,AR,23961,,291,America/Argentina/Salta
Embalse,Embalse,-32.18,-64.41809,AR,15900,623,561,America/Argentina/Cordoba
El Bolsón,El Bolson,-41.96667,-71.51667,AR,15537,,378,America/Argentina/Salta
Diamante,Diamante,-32.06641,-60.63836,AR,19545,,71,America/Argentina/Cordoba
Deán Funes,Dean Funes,-30.42036,-64.34984,AR,20164,,691,America/Argentina/Cordoba
Cutral-Có,Cutral-Co,-38.94688,-69.20889,AR,47380,,621,America/Argentina/Salta
Cruz del Eje,Cruz del Eje,-30.72644,-64.80387,AR,28166,,465,America/Argentina/Cordoba
Crespo,Crespo,-32.02873,-60.30658,AR,18296,,109,America/Argentina/Cordoba
Cosquín,Cosquin,-31.24508,-64.46563,AR,19070,,707,America/Argentina/Cordoba
Coronel Suárez,Coronel Suarez,-37.45467,-61.93343,AR,27000,,239,America/Argentina/Buenos_Aires
Coronda,Coronda,-31.97263,-60.91982,AR,16975,,19,America/Argentina/Cordoba
Córdoba,Cordoba,-31.4135,-64.18105,AR,1428214,,395,America/Argentina/Cordoba
Comodoro Rivadavia,Comodoro Rivadavia,-45.86667,-67.5,AR,140850,,54,America/Argentina/Catamarca
Cipolletti,Cipolletti,-38.93392,-67.99032,AR,75078,,267,America/Argentina/Salta
Cinco Saltos,Cinco Saltos,-38.82224,-68.06293,AR,19819,,288,America/Argentina/Salta
Chivilcoy,Chivilcoy,-34.89566,-60.01667,AR,54514,,60,America/Argentina/Buenos_Aires
Chimbas,Chimbas,-31.48333,-68.53333,AR,73829,,642,America/Argentina/San_Juan
Chilecito,Chilecito,-29.16195,-67.4974,AR,42248,,1125,America/Argentina/La_Rioja
Charata,Charata,-27.21438,-61.18795,AR,27813,,98,America/Argentina/Cordoba
Chacabuco,Chacabuco,-34.64167,-60.47389,AR,34587,,73,America/Argentina/Buenos_Aires
Centenario,Centenario,-38.82955,-68.1318,AR,28956,,272,America/Argentina/Salta
Caucete,Caucete,-31.65179,-68.28105,AR,33609,,578,America/Argentina/San_Juan
Catriel,Catriel,-37.87907,-67.7956,AR,15169,,323,America/Argentina/Salta
Castelli,Castelli,-25.94679,-60.61947,AR,36588,,113,America/Argentina/Cordoba
